day,year,week,variant,ireg,region,positive,genomes,cases
272,2020,47,sl452r,5,sjaelland,0,154,927
272,2020,47,sl452r,6,whole_denmark,0,1694,8422
272,2020,47,sn439k,0,other,1,9,
272,2020,47,sn439k,1,nordjylland,28,247,357
272,2020,47,sn439k,2,midtjylland,32,334,1719
272,2020,47,sn439k,3,syddanmark,22,278,1450
272,2020,47,sn439k,4,copenhagen,75,672,3866
272,2020,47,sn439k,5,sjaelland,10,154,927
272,2020,47,sn439k,6,whole_denmark,168,1694,8422
272,2020,47,sn501y,0,other,0,9,
272,2020,47,sn501y,1,nordjylland,0,247,357
272,2020,47,sn501y,2,midtjylland,0,334,1719
272,2020,47,sn501y,3,syddanmark,0,278,1450
272,2020,47,sn501y,4,copenhagen,0,672,3866
272,2020,47,sn501y,5,sjaelland,0,154,927
272,2020,47,sn501y,6,whole_denmark,0,1694,8422
272,2020,47,sy453f,0,other,2,9,
272,2020,47,sy453f,1,nordjylland,81,247,357
272,2020,47,sy453f,2,midtjylland,88,334,1719
272,2020,47,sy453f,3,syddanmark,32,278,1450
272,2020,47,sy453f,4,copenhagen,9,672,3866
272,2020,47,sy453f,5,sjaelland,4,154,927
272,2020,47,sy453f,6,whole_denmark,216,1694,8422
272,2020,47,y453f,0,other,2,9,
272,2020,47,y453f,1,nordjylland,81,247,357
272,2020,47,y453f,2,midtjylland,88,334,1719
272,2020,47,y453f,3,syddanmark,32,280,1450
272,2020,47,y453f,4,copenhagen,9,667,3866
272,2020,47,y453f,5,sjaelland,4,154,927
272,2020,47,y453f,6,whole_denmark,216,1691,8422
279,2020,48,20e-eu1,0,other,6,13,
279,2020,48,20e-eu1,1,nordjylland,56,170,267
279,2020,48,20e-eu1,2,midtjylland,211,412,1530
279,2020,48,20e-eu1,3,syddanmark,36,213,1290
279,2020,48,20e-eu1,4,copenhagen,337,777,4528
279,2020,48,20e-eu1,5,sjaelland,89,173,1046
279,2020,48,20e-eu1,6,whole_denmark,735,1758,8728
279,2020,48,b117,0,other,0,12,
279,2020,48,b117,1,nordjylland,0,170,267
279,2020,48,b117,2,midtjylland,0,412,1530
279,2020,48,b117,3,syddanmark,0,213,1290
279,2020,48,b117,4,copenhagen,3,819,4528
279,2020,48,b117,5,sjaelland,0,175,1046
279,2020,48,b117,6,whole_denmark,3,1801,8728
279,2020,48,b1351,0,other,0,12,
279,2020,48,b1351,1,nordjylland,0,170,267
279,2020,48,b1351,2,midtjylland,0,412,1530
279,2020,48,b1351,3,syddanmark,0,213,1290
279,2020,48,b1351,4,copenhagen,0,819,4528
279,2020,48,b1351,5,sjaelland,0,175,1046
279,2020,48,b1351,6,whole_denmark,0,1801,8728
279,2020,48,b1525,0,other,0,12,
279,2020,48,b1525,1,nordjylland,0,170,267
279,2020,48,b1525,2,midtjylland,0,412,1530
279,2020,48,b1525,3,syddanmark,0,213,1290
279,2020,48,b1525,4,copenhagen,0,819,4528
279,2020,48,b1525,5,sjaelland,0,175,1046
279,2020,48,b1525,6,whole_denmark,0,1801,8728
279,2020,48,d614g,1,nordjylland,170,170,267
279,2020,48,d614g,2,midtjylland,350,350,1530
279,2020,48,d614g,3,syddanmark,212,212,1290
279,2020,48,d614g,4,copenhagen,753,753,4528
279,2020,48,d614g,5,sjaelland,172,172,1046
279,2020,48,d614g,6,whole_denmark,1657,1657,8728
279,2020,48,e484k,0,other,0,13,
279,2020,48,e484k,1,nordjylland,0,170,267
279,2020,48,e484k,2,midtjylland,0,412,1530
279,2020,48,e484k,3,syddanmark,0,213,1290
279,2020,48,e484k,4,copenhagen,0,777,4528
279,2020,48,e484k,5,sjaelland,0,173,1046
279,2020,48,e484k,6,whole_denmark,0,1758,8728
279,2020,48,n439k,0,other,1,13,
279,2020,48,n439k,1,nordjylland,9,170,267
279,2020,48,n439k,2,midtjylland,55,412,1530
279,2020,48,n439k,3,syddanmark,21,213,1290
279,2020,48,n439k,4,copenhagen,82,777,4528
279,2020,48,n439k,5,sjaelland,10,173,1046
279,2020,48,n439k,6,whole_denmark,178,1758,8728
279,2020,48,n501y,0,other,0,13,
279,2020,48,n501y,1,nordjylland,0,170,267
279,2020,48,n501y,2,midtjylland,0,412,1530
279,2020,48,n501y,3,syddanmark,0,213,1290
279,2020,48,n501y,4,copenhagen,3,777,4528
279,2020,48,n501y,5,sjaelland,0,173,1046
279,2020,48,n501y,6,whole_denmark,3,1758,8728
279,2020,48,p1,0,other,0,12,
279,2020,48,p1,1,nordjylland,0,170,267
279,2020,48,p1,2,midtjylland,0,412,1530
279,2020,48,p1,3,syddanmark,0,213,1290
279,2020,48,p1,4,copenhagen,0,819,4528
279,2020,48,p1,5,sjaelland,0,175,1046
279,2020,48,p1,6,whole_denmark,0,1801,8728
279,2020,48,p2,0,other,0,13,
279,2020,48,p2,1,nordjylland,0,170,267
279,2020,48,p2,2,midtjylland,0,412,1530
279,2020,48,p2,3,syddanmark,0,213,1290
279,2020,48,p2,4,copenhagen,0,777,4528
279,2020,48,p2,5,sjaelland,0,173,1046
279,2020,48,p2,6,whole_denmark,0,1758,8728
279,2020,48,se484k,0,other,0,12,
279,2020,48,se484k,1,nordjylland,0,170,267
279,2020,48,se484k,2,midtjylland,0,412,1530
279,2020,48,se484k,3,syddanmark,0,213,1290
279,2020,48,se484k,4,copenhagen,0,819,4528
279,2020,48,se484k,5,sjaelland,0,175,1046
279,2020,48,se484k,6,whole_denmark,0,1801,8728
279,2020,48,sl452r,0,other,0,12,
279,2020,48,sl452r,1,nordjylland,0,170,267
279,2020,48,sl452r,2,midtjylland,0,412,1530
279,2020,48,sl452r,3,syddanmark,0,213,1290
279,2020,48,sl452r,4,copenhagen,0,819,4528
279,2020,48,sl452r,5,sjaelland,0,175,1046
279,2020,48,sl452r,6,whole_denmark,0,1801,8728
279,2020,48,sn439k,0,other,0,12,
279,2020,48,sn439k,1,nordjylland,9,170,267
